Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
A Culpa é das Estrelas,John Green,Romance,1929,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 665",3.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1909,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 643,2.3
O Alquimista,Paulo Coelho,Filosofia,1911,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 140,3.8
O Milagre da Manhã,Hal Elrod,Autoajuda,1922,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 845,1.7
O Milagre da Manhã,Hal Elrod,Autoajuda,1927,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 256,1.1
Dom Quixote,Miguel de Cervantes,Clássico,1944,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 133,4.2
O Senhor das Moscas,William Golding,Aventura,1927,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 441,4.4
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1907,A jornada de Frodo para destruir o anel poderoso. Variado 591,4.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1954,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 979,2.2
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1927,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 649,2.5
O Milagre da Manhã,Hal Elrod,Autoajuda,2000,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 120,1.9
O Alquimista,Paulo Coelho,Filosofia,1970,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 328,2.7
O Lobo da Estepe,Hermann Hesse,Psicológico,2021,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 455,1.9
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1910,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 818",5.0
O Código Da Vinci,Dan Brown,Mistério,1975,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 782,3.6
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1928,A jornada de Frodo para destruir o anel poderoso. Variado 468,2.1
O Código Da Vinci,Dan Brown,Mistério,1907,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 91,4.2
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2007,A jornada de Frodo para destruir o anel poderoso. Variado 555,2.7
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1948,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 233",2.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2006,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 147,3.8
A Menina que Roubava Livros,Markus Zusak,Histórico,1918,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 931,5.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1977,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 980",1.2
O Alquimista,Paulo Coelho,Filosofia,1984,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 452,3.7
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1965,Uma história filosófica sobre um menino e suas aventuras. Variado 725,1.3
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1988,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 807,2.9
O Lobo da Estepe,Hermann Hesse,Psicológico,1940,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 412,2.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1941,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 379",3.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1970,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 273,4.0
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1956,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 831",3.3
1984,George Orwell,Distopia,1937,Um regime totalitário vigia tudo e todos. Variado 494,2.8
O Rei Leão,Roger Allers,Infantil,1991,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 892",1.5
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1975,A jornada de Frodo para destruir o anel poderoso. Variado 718,1.1
Dom Quixote,Miguel de Cervantes,Clássico,1906,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 43,1.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1955,A jornada de Frodo para destruir o anel poderoso. Variado 636,4.8
O Código Da Vinci,Dan Brown,Mistério,1996,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 851,4.9
A Guerra dos Tronos,George R. R. Martin,Fantasia,1958,"Em um reino medieval, várias famílias brigam pelo poder. Variado 236",2.1
A Menina que Roubava Livros,Markus Zusak,Histórico,1973,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 201,3.2
O Alquimista,Paulo Coelho,Filosofia,1932,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 567,3.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1964,"Em um reino medieval, várias famílias brigam pelo poder. Variado 29",4.4
O Senhor das Moscas,William Golding,Aventura,2001,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 407,4.8
O Lobo da Estepe,Hermann Hesse,Psicológico,2016,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 831,1.2
O Rei Leão,Roger Allers,Infantil,1901,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 240",4.9
A Guerra dos Tronos,George R. R. Martin,Fantasia,2018,"Em um reino medieval, várias famílias brigam pelo poder. Variado 697",1.4
O Rei Leão,Roger Allers,Infantil,1965,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 535",3.6
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1981,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 406,3.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1977,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 391",4.1
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1974,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 89",1.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1923,A jornada de Frodo para destruir o anel poderoso. Variado 751,2.4
A Menina que Roubava Livros,Markus Zusak,Histórico,1915,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 620,3.2
O Milagre da Manhã,Hal Elrod,Autoajuda,1971,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 691,4.9
A Menina que Roubava Livros,Markus Zusak,Histórico,2022,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 321,4.2
Dom Quixote,Miguel de Cervantes,Clássico,1985,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 116,2.6
A Culpa é das Estrelas,John Green,Romance,1911,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 668",3.1
O Código Da Vinci,Dan Brown,Mistério,1951,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 778,1.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2003,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 539",5.0
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2013,A jornada de Frodo para destruir o anel poderoso. Variado 868,1.4
A Guerra dos Tronos,George R. R. Martin,Fantasia,2004,"Em um reino medieval, várias famílias brigam pelo poder. Variado 187",2.0
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2022,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 460",2.9
O Rei Leão,Roger Allers,Infantil,1966,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 65",3.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1907,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 60",4.7
O Rei Leão,Roger Allers,Infantil,1982,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 369",3.6
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1923,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 137",3.0
O Rei Leão,Roger Allers,Infantil,1996,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 853",1.7
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1992,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 13",1.4
A Culpa é das Estrelas,John Green,Romance,2018,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 128",3.6
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1930,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 509,2.7
O Alquimista,Paulo Coelho,Filosofia,1989,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 370,3.1
O Alquimista,Paulo Coelho,Filosofia,1980,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 26,4.6
A Menina que Roubava Livros,Markus Zusak,Histórico,1948,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 544,3.6
O Alquimista,Paulo Coelho,Filosofia,1909,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 965,3.8
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1998,A jornada de Frodo para destruir o anel poderoso. Variado 251,4.2
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1915,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 836,3.9
O Rei Leão,Roger Allers,Infantil,1919,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 957",3.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1970,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 964",2.3
O Senhor das Moscas,William Golding,Aventura,1971,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 101,2.5
O Rei Leão,Roger Allers,Infantil,1912,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 226",1.8
A Revolução dos Bichos,George Orwell,Fábula,1991,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 342,2.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1964,"Em um reino medieval, várias famílias brigam pelo poder. Variado 319",3.5
O Rei Leão,Roger Allers,Infantil,1936,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 992",2.7
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2000,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 784",1.6
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2018,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 767",4.1
O Senhor das Moscas,William Golding,Aventura,1972,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 728,4.0
A Culpa é das Estrelas,John Green,Romance,1977,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 131",4.9
A Revolução dos Bichos,George Orwell,Fábula,1902,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 568,3.4
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1944,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 984",3.3
