Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1999,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 764,3.1
Dom Quixote,Miguel de Cervantes,Clássico,1971,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 339,2.9
1984,George Orwell,Distopia,1919,Um regime totalitário vigia tudo e todos. Variado 756,5.0
O Rei Leão,Roger Allers,Infantil,2008,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 282",4.9
A Culpa é das Estrelas,John Green,Romance,1909,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 374",2.9
A Revolução dos Bichos,George Orwell,Fábula,1971,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 869,1.5
1984,George Orwell,Distopia,1981,Um regime totalitário vigia tudo e todos. Variado 939,2.5
A Revolução dos Bichos,George Orwell,Fábula,1904,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 253,3.7
O Rei Leão,Roger Allers,Infantil,2018,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 587",4.1
Dom Quixote,Miguel de Cervantes,Clássico,1991,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 564,2.1
O Rei Leão,Roger Allers,Infantil,1951,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 596",1.9
1984,George Orwell,Distopia,1933,Um regime totalitário vigia tudo e todos. Variado 41,1.9
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1954,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 699",1.6
O Alquimista,Paulo Coelho,Filosofia,1997,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 886,1.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1972,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 574",3.1
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2010,Uma história filosófica sobre um menino e suas aventuras. Variado 357,4.6
A Revolução dos Bichos,George Orwell,Fábula,1976,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 79,1.3
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1948,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 120,2.2
A Guerra dos Tronos,George R. R. Martin,Fantasia,1944,"Em um reino medieval, várias famílias brigam pelo poder. Variado 121",3.3
A Revolução dos Bichos,George Orwell,Fábula,1900,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 578,2.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,2007,"Em um reino medieval, várias famílias brigam pelo poder. Variado 671",4.4
O Alquimista,Paulo Coelho,Filosofia,1952,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 310,2.0
O Hobbit,J. R. R. Tolkien,Fantasia,1931,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 348,1.2
1984,George Orwell,Distopia,1910,Um regime totalitário vigia tudo e todos. Variado 94,2.3
O Alquimista,Paulo Coelho,Filosofia,1992,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 852,2.4
O Hobbit,J. R. R. Tolkien,Fantasia,1943,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 163,2.6
O Código Da Vinci,Dan Brown,Mistério,1982,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 160,1.6
